"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 22:44:25 MSK 2023","Thu Dec 14 22:44:26 MSK 2023","616","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"broken","Thu Dec 14 22:43:42 MSK 2023","Thu Dec 14 22:43:55 MSK 2023","12917","tests","test_order","TestOrder","","","Проверка заказа самоката","Положительный сценарий проверки заказа самоката с верхней и нижней кнопок"
"passed","Thu Dec 14 22:43:38 MSK 2023","Thu Dec 14 22:43:40 MSK 2023","1329","tests","test_order","TestOrder","","","Проверка кнопки ""Яндекс""","Проверка перехода по кнопке ""Яндекс"" на ""Дзен"""
"broken","Thu Dec 14 22:43:55 MSK 2023","Thu Dec 14 22:44:06 MSK 2023","10982","tests","test_order","TestOrder","","","Проверка заказа самоката","Положительный сценарий проверки заказа самоката с верхней и нижней кнопок"
"passed","Thu Dec 14 22:44:26 MSK 2023","Thu Dec 14 22:44:27 MSK 2023","601","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:28 MSK 2023","Thu Dec 14 22:44:28 MSK 2023","617","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:06 MSK 2023","Thu Dec 14 22:44:06 MSK 2023","338","tests","test_order","TestOrder","","","Проверка кнопки ""Самокат""","Проверка перехода по кнопке ""Самокат"" на главную страницу"
"passed","Thu Dec 14 22:44:19 MSK 2023","Thu Dec 14 22:44:20 MSK 2023","360","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:26 MSK 2023","Thu Dec 14 22:44:26 MSK 2023","610","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:43:35 MSK 2023","Thu Dec 14 22:43:38 MSK 2023","3233","tests","test_order","TestOrder","","","Проверка заказа самоката","Положительный сценарий проверки заказа самоката с верхней и нижней кнопок"
"passed","Thu Dec 14 22:44:18 MSK 2023","Thu Dec 14 22:44:19 MSK 2023","387","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:19 MSK 2023","Thu Dec 14 22:44:19 MSK 2023","347","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:43:38 MSK 2023","Thu Dec 14 22:43:38 MSK 2023","586","tests","test_order","TestOrder","","","Проверка кнопки ""Самокат""","Проверка перехода по кнопке ""Самокат"" на главную страницу"
"passed","Thu Dec 14 22:44:15 MSK 2023","Thu Dec 14 22:44:18 MSK 2023","2434","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:28 MSK 2023","Thu Dec 14 22:44:29 MSK 2023","615","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:43:30 MSK 2023","Thu Dec 14 22:43:35 MSK 2023","4542","tests","test_order","TestOrder","","","Проверка заказа самоката","Положительный сценарий проверки заказа самоката с верхней и нижней кнопок"
"passed","Thu Dec 14 22:44:06 MSK 2023","Thu Dec 14 22:44:13 MSK 2023","6691","tests","test_order","TestOrder","","","Проверка кнопки ""Яндекс""","Проверка перехода по кнопке ""Яндекс"" на ""Дзен"""
"passed","Thu Dec 14 22:44:20 MSK 2023","Thu Dec 14 22:44:21 MSK 2023","342","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:20 MSK 2023","Thu Dec 14 22:44:20 MSK 2023","655","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:18 MSK 2023","Thu Dec 14 22:44:18 MSK 2023","368","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:27 MSK 2023","Thu Dec 14 22:44:28 MSK 2023","612","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:19 MSK 2023","Thu Dec 14 22:44:19 MSK 2023","383","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:22 MSK 2023","Thu Dec 14 22:44:25 MSK 2023","2735","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
"passed","Thu Dec 14 22:44:26 MSK 2023","Thu Dec 14 22:44:26 MSK 2023","81","tests","test_questions","TestFAQ","","","Проверка аккордеона FAQ","Тест проверки корректности ответа на вопрос по номеру вопроса"
